gene,U_statistic_MWU,p_value_MWU,FDR,hbNeutrophils,htNeutrophils,fold_change
TPRG1L,12583712,4.24842E-13,1.47294E-12,0.185810431,0.08576356,0.646521158
TPST1,12302873,6.89808E-05,0.000106568,0.071583611,0.038700273,0.805202896
TPST2,12436897.5,2.6615E-06,4.80407E-06,0.160737657,0.122339937,0.851149813
TPT1,4587722.5,0,0,2.469824316,9.723005984,3.825494214
TPT1-AS1,12273916,0.010879766,0.013486654,0.076296285,0.080823198,1.026088587
TRA2A,11892249,1.70012E-06,3.13844E-06,0.108968578,0.205452218,1.467928534
TRA2B,11954200.5,0.00011236,0.000168834,0.102121993,0.216838412,1.575462349
TRABD,12515424,2.4684E-12,8.02532E-12,0.121868837,0.052301285,0.68247532
TRABD2A,12328670.5,1.04821E-07,2.21706E-07,0.043108568,0.01170391,0.776213466
TRADD,12311524.5,4.53898E-06,7.98397E-06,0.067411855,0.019493321,0.708943238
TRAF3,11992026,9.50721E-13,3.19589E-12,0.010324047,0.071392582,1.567822796
TRAF3IP2,12499406,1.11971E-12,3.7406E-12,0.09369722,0.042786054,0.733340146
TRAF3IP3,12065617,0.04887319,0.057024235,0.077042024,0.112804436,1.20521673
TRAF5,12287936.5,1.87818E-05,3.08697E-05,0.038120096,0.016831048,0.84270489
TRAF7,12186851.5,0.208121388,0.228276691,0.025837768,0.019150905,0.945662783
TRAFD1,12493273.5,1.53623E-10,4.26845E-10,0.148461921,0.071480285,0.686667154
