gene,U_statistic_MWU,p_value_MWU,FDR,hbMonocytes,htMonocytes,fold_change
SAR1A,691918.5,0.377793993,0.392831573,0.200109284,0.273305606,1.246175574
SAR1B,701892,0.008934441,0.010473676,0.060523603,0.09265789,1.203706288
SARAF,702860,0.129730944,0.13991127,0.382673988,0.492697587,1.229264301
SARNP,706452,0.001016635,0.001282524,0.056334351,0.052167485,0.972864705
SARS,734842.5,3.99306E-12,1.26162E-11,0.079038433,0.03355106,0.741934601
SART1,721530.5,4.37622E-06,6.85561E-06,0.090091956,0.072361856,0.905346829
SART3,718320.5,2.88939E-08,5.73405E-08,0.063533671,0.030703753,0.795780761
SASH1,678399.5,0.637413391,0.651453334,0.017856269,0.046250201,1.246730405
SASH3,818043.5,1.72697E-36,4.41669E-35,0.191290536,0.079101188,0.611149088
SAT1,313652,5.8889E-114,1.0247E-111,1.336114733,4.529142118,3.227684306
SAT2,749311,1.48325E-11,4.36639E-11,0.132082688,0.098290229,0.852632381
SATB1,546458,6.99385E-24,7.69166E-23,0.175944801,0.686336559,2.868407966
SATB2,704880,5.67092E-06,8.77799E-06,0.027452343,0.016701126,0.913767357
SAV1,697912,0.026832862,0.030335237,0.05180917,0.062208476,1.069778214
SBDS,655149,0.001401071,0.001744224,0.040869695,0.113696766,1.5273723
SBF1,713876,3.13948E-07,5.55494E-07,0.054661224,0.049100903,0.963391423
SBF2,818560,1.01795E-25,1.30856E-24,0.335864182,0.181955728,0.644626033
SBNO1,746165,2.37804E-10,6.0327E-10,0.172256059,0.11993154,0.805831957
SBNO2,653591.5,0.024113199,0.027362177,0.151995846,0.288169184,1.546397289
SC5D,660251,0.010418841,0.012146589,0.038404806,0.107883353,1.512267827
SCAF11,862548.5,8.49512E-36,2.06941E-34,0.626669284,0.366235181,0.640231623
SCAF4,711531,0.000122655,0.000167788,0.059928482,0.058866261,0.99324085
SCAF8,710658,3.59245E-07,6.30604E-07,0.040836209,0.021381035,0.8590825
SCAI,713037,1.13953E-08,2.36699E-08,0.042401564,0.011752351,0.780490801
SCAMP1,697140,0.005273792,0.006300617,0.033424708,0.044974457,1.08840273
SCAMP1-AS1,702352,0.00011884,0.00016282,0.025389186,0.026971,1.012900791
SCAMP2,765894,1.12635E-11,3.35529E-11,0.268232481,0.238119241,0.917601143
SCAMP3,728536,1.85364E-08,3.7582E-08,0.101930225,0.086999918,0.92503163
SCAMP4,717741,0.000338584,0.000445532,0.099272873,0.119931851,1.105136136
SCAND1,736837,1.4715E-11,4.33313E-11,0.086982941,0.056994342,0.837202051
SCAP,707118.5,3.2073E-06,5.09071E-06,0.029677424,0.0209014,0.930844058
SCAPER,707069,7.62426E-06,1.16389E-05,0.048042264,0.025765124,0.846646718
SCARB1,701843,0.000246356,0.000328295,0.034088331,0.026609674,0.94304703
SCARB2,775994.5,3.9186E-15,1.78341E-14,0.240940585,0.17147024,0.794566791
